Статистика проездов: (2020-06-01 00:00 - 2020-06-07 23:59)  - Камера 41;;;;;;;
;;;;;;;
№п/п;Дата;Камера;Час;Минуты;Сумма;;
1;01.06.2020;441;0;0;17;;
2;01.06.2020;441;0;30;7;;24
3;01.06.2020;441;1;0;9;;
4;01.06.2020;441;1;30;10;;19
5;01.06.2020;441;2;0;6;;
6;01.06.2020;441;2;30;3;;9
7;01.06.2020;441;3;0;8;;
8;01.06.2020;441;3;30;6;;14
9;01.06.2020;441;4;0;4;;
10;01.06.2020;441;4;30;7;;11
11;01.06.2020;441;5;0;10;;
12;01.06.2020;441;5;30;19;;29
13;01.06.2020;441;6;0;35;;
14;01.06.2020;441;6;30;86;;121
15;01.06.2020;441;7;0;125;;
16;01.06.2020;441;7;30;193;;318
17;01.06.2020;441;8;0;157;;
18;01.06.2020;441;8;30;203;;360
19;01.06.2020;441;9;0;183;;
20;01.06.2020;441;9;30;57;;240
21;01.06.2020;441;10;0;91;;
22;01.06.2020;441;10;30;184;;275
23;01.06.2020;441;11;0;144;;
24;01.06.2020;441;11;30;190;;334
25;01.06.2020;441;12;0;200;;
26;01.06.2020;441;12;30;221;;421
27;01.06.2020;441;13;0;203;;
28;01.06.2020;441;13;30;207;;410
29;01.06.2020;441;14;0;191;;
30;01.06.2020;441;14;30;192;;383
31;01.06.2020;441;15;0;141;;
32;01.06.2020;441;15;30;68;;209
33;01.06.2020;441;16;0;190;;
34;01.06.2020;441;16;30;217;;407
35;01.06.2020;441;17;0;201;;
36;01.06.2020;441;17;30;176;;377
37;01.06.2020;441;18;0;195;;
38;01.06.2020;441;18;30;164;;359
39;01.06.2020;441;19;0;150;;
40;01.06.2020;441;19;30;137;;287
41;01.06.2020;441;20;0;127;;
42;01.06.2020;441;20;30;87;;214
43;01.06.2020;441;21;0;72;;
44;01.06.2020;441;21;30;59;;131
45;01.06.2020;441;22;0;53;;
46;01.06.2020;441;22;30;28;;81
47;01.06.2020;441;23;0;24;;
48;01.06.2020;441;23;30;19;;43
49;02.06.2020;441;0;0;16;;
50;02.06.2020;441;0;30;10;;26
51;02.06.2020;441;1;0;6;;
52;02.06.2020;441;1;30;3;;9
53;02.06.2020;441;2;0;1;;
54;02.06.2020;441;2;30;1;;2
55;02.06.2020;441;3;0;6;;
56;02.06.2020;441;3;30;5;;11
57;02.06.2020;441;4;0;4;;
58;02.06.2020;441;4;30;3;;7
59;02.06.2020;441;5;0;9;;
60;02.06.2020;441;5;30;16;;25
61;02.06.2020;441;6;0;34;;
62;02.06.2020;441;6;30;94;;128
63;02.06.2020;441;7;0;128;;
64;02.06.2020;441;7;30;197;;325
65;02.06.2020;441;8;0;167;;
66;02.06.2020;441;8;30;210;;377
67;02.06.2020;441;9;0;191;;
68;02.06.2020;441;9;30;171;;362
69;02.06.2020;441;10;0;207;;
70;02.06.2020;441;10;30;186;;393
71;02.06.2020;441;11;0;207;;
72;02.06.2020;441;11;30;189;;396
73;02.06.2020;441;12;0;184;;
74;02.06.2020;441;12;30;204;;388
75;02.06.2020;441;13;0;180;;
76;02.06.2020;441;13;30;206;;386
77;02.06.2020;441;14;0;203;;
78;02.06.2020;441;14;30;192;;395
79;02.06.2020;441;15;0;210;;
80;02.06.2020;441;15;30;151;;361
81;02.06.2020;441;16;0;198;;
82;02.06.2020;441;16;30;201;;399
83;02.06.2020;441;17;0;160;;
84;02.06.2020;441;17;30;158;;318
85;02.06.2020;441;18;0;171;;
86;02.06.2020;441;18;30;134;;305
87;02.06.2020;441;19;0;162;;
88;02.06.2020;441;19;30;126;;288
89;02.06.2020;441;20;0;116;;
90;02.06.2020;441;20;30;104;;220
91;02.06.2020;441;21;0;84;;
92;02.06.2020;441;21;30;66;;150
93;02.06.2020;441;22;0;46;;
94;02.06.2020;441;22;30;45;;91
95;02.06.2020;441;23;0;28;;
96;02.06.2020;441;23;30;20;;48
97;03.06.2020;441;0;0;17;;
98;03.06.2020;441;0;30;11;;28
99;03.06.2020;441;1;0;7;;
100;03.06.2020;441;1;30;9;;16
101;03.06.2020;441;2;0;4;;
102;03.06.2020;441;2;30;8;;12
103;03.06.2020;441;3;0;7;;
104;03.06.2020;441;3;30;12;;19
105;03.06.2020;441;4;0;2;;
106;03.06.2020;441;4;30;5;;7
107;03.06.2020;441;5;0;11;;
108;03.06.2020;441;5;30;9;;20
109;03.06.2020;441;6;0;41;;
110;03.06.2020;441;6;30;100;;141
111;03.06.2020;441;7;0;122;;
112;03.06.2020;441;7;30;179;;301
113;03.06.2020;441;8;0;143;;
114;03.06.2020;441;8;30;195;;338
115;03.06.2020;441;9;0;153;;
116;03.06.2020;441;9;30;163;;316
117;03.06.2020;441;10;0;173;;
118;03.06.2020;441;10;30;202;;375
119;03.06.2020;441;11;0;217;;
120;03.06.2020;441;11;30;180;;397
121;03.06.2020;441;12;0;194;;
122;03.06.2020;441;12;30;201;;395
123;03.06.2020;441;13;0;187;;
124;03.06.2020;441;13;30;201;;388
125;03.06.2020;441;14;0;171;;
126;03.06.2020;441;14;30;204;;375
127;03.06.2020;441;15;0;194;;
128;03.06.2020;441;15;30;189;;383
129;03.06.2020;441;16;0;191;;
130;03.06.2020;441;16;30;193;;384
131;03.06.2020;441;17;0;180;;
132;03.06.2020;441;17;30;192;;372
133;03.06.2020;441;18;0;175;;
134;03.06.2020;441;18;30;167;;342
135;03.06.2020;441;19;0;132;;
136;03.06.2020;441;19;30;111;;243
137;03.06.2020;441;20;0;47;;
138;03.06.2020;441;20;30;41;;88
139;03.06.2020;441;21;0;76;;
140;03.06.2020;441;21;30;62;;138
141;03.06.2020;441;22;0;48;;
142;03.06.2020;441;22;30;41;;89
143;03.06.2020;441;23;0;30;;
144;03.06.2020;441;23;30;24;;54
145;04.06.2020;441;0;0;20;;
146;04.06.2020;441;0;30;11;;31
147;04.06.2020;441;1;0;6;;
148;04.06.2020;441;1;30;6;;12
149;04.06.2020;441;2;0;3;;
150;04.06.2020;441;2;30;5;;8
151;04.06.2020;441;3;0;8;;
152;04.06.2020;441;3;30;4;;12
153;04.06.2020;441;4;0;1;;
154;04.06.2020;441;4;30;5;;6
155;04.06.2020;441;5;0;5;;
156;04.06.2020;441;5;30;7;;12
157;04.06.2020;441;6;0;42;;
158;04.06.2020;441;6;30;92;;134
159;04.06.2020;441;7;0;128;;
160;04.06.2020;441;7;30;163;;291
161;04.06.2020;441;8;0;144;;
162;04.06.2020;441;8;30;189;;333
163;04.06.2020;441;9;0;165;;
164;04.06.2020;441;9;30;173;;338
165;04.06.2020;441;10;0;186;;
166;04.06.2020;441;10;30;172;;358
167;04.06.2020;441;11;0;179;;
168;04.06.2020;441;11;30;205;;384
169;04.06.2020;441;12;0;200;;
170;04.06.2020;441;12;30;191;;391
171;04.06.2020;441;13;0;226;;
172;04.06.2020;441;13;30;195;;421
173;04.06.2020;441;14;0;178;;
174;04.06.2020;441;14;30;166;;344
175;04.06.2020;441;15;0;181;;
176;04.06.2020;441;15;30;178;;359
177;04.06.2020;441;16;0;173;;
178;04.06.2020;441;16;30;212;;385
179;04.06.2020;441;17;0;193;;
180;04.06.2020;441;17;30;197;;390
181;04.06.2020;441;18;0;180;;
182;04.06.2020;441;18;30;184;;364
183;04.06.2020;441;19;0;153;;
184;04.06.2020;441;19;30;176;;329
185;04.06.2020;441;20;0;135;;
186;04.06.2020;441;20;30;91;;226
187;04.06.2020;441;21;0;90;;
188;04.06.2020;441;21;30;86;;176
189;04.06.2020;441;22;0;64;;
190;04.06.2020;441;22;30;49;;113
191;04.06.2020;441;23;0;38;;
192;04.06.2020;441;23;30;17;;55
193;05.06.2020;441;0;0;17;;
194;05.06.2020;441;0;30;13;;30
195;05.06.2020;441;1;0;6;;
196;05.06.2020;441;1;30;8;;14
197;05.06.2020;441;2;0;4;;
198;05.06.2020;441;2;30;6;;10
199;05.06.2020;441;3;0;6;;
200;05.06.2020;441;3;30;7;;13
201;05.06.2020;441;4;0;7;;
202;05.06.2020;441;4;30;3;;10
203;05.06.2020;441;5;0;8;;
204;05.06.2020;441;5;30;8;;16
205;05.06.2020;441;6;0;44;;
206;05.06.2020;441;6;30;93;;137
207;05.06.2020;441;7;0;130;;
208;05.06.2020;441;7;30;189;;319
209;05.06.2020;441;8;0;176;;
210;05.06.2020;441;8;30;190;;366
211;05.06.2020;441;9;0;194;;
212;05.06.2020;441;9;30;184;;378
213;05.06.2020;441;10;0;191;;
214;05.06.2020;441;10;30;238;;429
215;05.06.2020;441;11;0;178;;
216;05.06.2020;441;11;30;214;;392
217;05.06.2020;441;12;0;180;;
218;05.06.2020;441;12;30;203;;383
219;05.06.2020;441;13;0;206;;
220;05.06.2020;441;13;30;218;;424
221;05.06.2020;441;14;0;225;;
222;05.06.2020;441;14;30;217;;442
223;05.06.2020;441;15;0;198;;
224;05.06.2020;441;15;30;219;;417
225;05.06.2020;441;16;0;197;;
226;05.06.2020;441;16;30;207;;404
227;05.06.2020;441;17;0;227;;
228;05.06.2020;441;17;30;166;;393
229;05.06.2020;441;18;0;189;;
230;05.06.2020;441;18;30;179;;368
231;05.06.2020;441;19;0;163;;
232;05.06.2020;441;19;30;142;;305
233;05.06.2020;441;20;0;134;;
234;05.06.2020;441;20;30;112;;246
235;05.06.2020;441;21;0;83;;
236;05.06.2020;441;21;30;62;;145
237;05.06.2020;441;22;0;81;;
238;05.06.2020;441;22;30;57;;138
239;05.06.2020;441;23;0;34;;
240;05.06.2020;441;23;30;19;;53
241;06.06.2020;441;0;0;8;;
242;06.06.2020;441;0;30;11;;19
243;06.06.2020;441;1;0;12;;
244;06.06.2020;441;1;30;7;;19
245;06.06.2020;441;2;0;3;;
246;06.06.2020;441;2;30;6;;9
247;06.06.2020;441;3;0;4;;
248;06.06.2020;441;3;30;2;;6
249;06.06.2020;441;4;30;11;;11
250;06.06.2020;441;5;0;8;;
251;06.06.2020;441;5;30;12;;20
252;06.06.2020;441;6;0;31;;
253;06.06.2020;441;6;30;62;;93
254;06.06.2020;441;7;0;80;;
255;06.06.2020;441;7;30;107;;187
256;06.06.2020;441;8;0;118;;
257;06.06.2020;441;8;30;138;;256
258;06.06.2020;441;9;0;145;;
259;06.06.2020;441;9;30;194;;339
260;06.06.2020;441;10;0;201;;
261;06.06.2020;441;10;30;192;;393
262;06.06.2020;441;11;0;195;;
263;06.06.2020;441;11;30;192;;387
264;06.06.2020;441;12;0;184;;
265;06.06.2020;441;12;30;181;;365
266;06.06.2020;441;13;0;204;;
267;06.06.2020;441;13;30;198;;402
268;06.06.2020;441;14;0;189;;
269;06.06.2020;441;14;30;184;;373
270;06.06.2020;441;15;0;163;;
271;06.06.2020;441;15;30;198;;361
272;06.06.2020;441;16;0;147;;
273;06.06.2020;441;16;30;160;;307
274;06.06.2020;441;17;0;173;;
275;06.06.2020;441;17;30;156;;329
276;06.06.2020;441;18;0;150;;
277;06.06.2020;441;18;30;193;;343
278;06.06.2020;441;19;0;176;;
279;06.06.2020;441;19;30;144;;320
280;06.06.2020;441;20;0;138;;
281;06.06.2020;441;20;30;138;;276
282;06.06.2020;441;21;0;100;;
283;06.06.2020;441;21;30;98;;198
284;06.06.2020;441;22;0;61;;
285;06.06.2020;441;22;30;78;;139
286;06.06.2020;441;23;0;44;;
287;06.06.2020;441;23;30;37;;81
288;07.06.2020;441;0;0;44;;
289;07.06.2020;441;0;30;28;;72
290;07.06.2020;441;1;0;24;;
291;07.06.2020;441;1;30;18;;42
292;07.06.2020;441;2;0;11;;
293;07.06.2020;441;2;30;5;;16
294;07.06.2020;441;3;0;10;;
295;07.06.2020;441;3;30;7;;17
296;07.06.2020;441;4;0;6;;
297;07.06.2020;441;4;30;5;;11
298;07.06.2020;441;5;0;8;;
299;07.06.2020;441;5;30;11;;19
300;07.06.2020;441;6;0;20;;
301;07.06.2020;441;6;30;62;;82
302;07.06.2020;441;7;0;47;;
303;07.06.2020;441;7;30;61;;108
304;07.06.2020;441;8;0;92;;
305;07.06.2020;441;8;30;107;;199
306;07.06.2020;441;9;0;101;;
307;07.06.2020;441;9;30;143;;244
308;07.06.2020;441;10;0;133;;
309;07.06.2020;441;10;30;173;;306
310;07.06.2020;441;11;0;182;;
311;07.06.2020;441;11;30;171;;353
312;07.06.2020;441;12;0;193;;
313;07.06.2020;441;12;30;191;;384
314;07.06.2020;441;13;0;170;;
315;07.06.2020;441;13;30;171;;341
316;07.06.2020;441;14;0;168;;
317;07.06.2020;441;14;30;159;;327
318;07.06.2020;441;15;0;154;;
319;07.06.2020;441;15;30;156;;310
320;07.06.2020;441;16;0;136;;
321;07.06.2020;441;16;30;128;;264
322;07.06.2020;441;17;0;144;;
323;07.06.2020;441;17;30;147;;291
324;07.06.2020;441;18;0;152;;
325;07.06.2020;441;18;30;138;;290
326;07.06.2020;441;19;0;110;;
327;07.06.2020;441;19;30;131;;241
328;07.06.2020;441;20;0;122;;
329;07.06.2020;441;20;30;120;;242
330;07.06.2020;441;21;0;98;;
331;07.06.2020;441;21;30;78;;176
332;07.06.2020;441;22;0;75;;
333;07.06.2020;441;22;30;55;;130
334;07.06.2020;441;23;0;41;;
335;07.06.2020;441;23;30;38;;79
